domestic,work,public,commercial,delivery,workshop,factory
5.25E-05,4.37E-05,4.37E-05,3.61E-05,4.37E-05,4.81E-05,9.00E-05
6.92E-05,5.30E-05,5.30E-05,4.83E-05,5.30E-05,6.10E-05,9.37E-05
9.73E-05,7.93E-05,7.93E-05,7.96E-05,7.93E-05,9.62E-05,0.000106075
0.00010501,0.000130864,0.000130864,0.000157347,0.000130864,0.000160553,0.000120658
0.000102448,0.000186843,0.000186843,0.00018577,0.000186843,0.000200453,0.00013038
9.99E-05,0.000197223,0.000197223,0.000187134,0.000197223,0.000216503,0.000135057
9.60E-05,0.000201672,0.000201672,0.000203429,0.000201672,0.000219632,0.000137369
0.000101168,0.000199818,0.000199818,0.000183268,0.000199818,0.000217773,0.000137028
9.22E-05,0.000191291,0.000191291,0.000185239,0.000191291,0.000215189,0.000137921
8.96E-05,0.000192774,0.000192774,0.000184708,0.000192774,0.00021537,0.000135688
9.35E-05,0.000189438,0.000189438,0.000172506,0.000189438,0.000212151,0.00013419
0.000117816,0.000175721,0.000175721,0.000139763,0.000175721,0.000198231,0.000132613
0.000134464,0.000127528,0.000127528,8.46E-05,0.000127528,0.000150668,0.000130774
0.000129341,8.38E-05,8.38E-05,5.57E-05,8.38E-05,9.00E-05,0.000127516
0.000120377,7.49E-05,7.49E-05,4.41E-05,7.49E-05,6.41E-05,0.000126938
0.00012678,7.15E-05,7.15E-05,4.30E-05,7.15E-05,5.76E-05,0.000122524
0.000143428,6.71E-05,6.71E-05,4.18E-05,6.71E-05,5.75E-05,0.000118293
0.000130622,6.04E-05,6.04E-05,4.57E-05,6.04E-05,5.43E-05,0.000111593
9.73E-05,5.45E-05,5.45E-05,4.36E-05,5.45E-05,5.22E-05,0.000104998
7.43E-05,4.86E-05,4.86E-05,4.59E-05,4.86E-05,4.92E-05,9.88E-05
5.76E-05,4.52E-05,4.52E-05,4.96E-05,4.52E-05,4.74E-05,9.28E-05
5.25E-05,4.23E-05,4.23E-05,4.50E-05,4.23E-05,4.53E-05,8.99E-05
4.99E-05,4.26E-05,4.26E-05,4.69E-05,4.26E-05,4.27E-05,8.88E-05
4.99E-05,4.26E-05,4.26E-05,3.87E-05,4.26E-05,4.23E-05,8.81E-05
5.12E-05,4.37E-05,4.37E-05,3.28E-05,4.37E-05,4.09E-05,8.80E-05
6.15E-05,4.75E-05,4.75E-05,3.53E-05,4.75E-05,4.41E-05,9.08E-05
8.71E-05,6.12E-05,6.12E-05,4.91E-05,6.12E-05,6.46E-05,9.97E-05
0.000102448,9.16E-05,9.16E-05,7.75E-05,9.16E-05,0.000106642,0.000113406
0.000110132,0.000140874,0.000140874,8.69E-05,0.000140874,0.000130628,0.00012502
0.000108851,0.000151624,0.000151624,8.56E-05,0.000151624,0.000142144,0.000129854
0.00010629,0.000150883,0.000150883,8.06E-05,0.000150883,0.000143051,0.00013151
0.000110132,0.000140503,0.000140503,6.59E-05,0.000140503,0.00012564,0.000128751
0.000101168,0.000125303,0.000125303,6.28E-05,0.000125303,0.000116481,0.000128041
9.35E-05,0.000121596,0.000121596,6.16E-05,0.000121596,0.000113307,0.00012636
9.73E-05,0.000117889,0.000117889,6.00E-05,0.000117889,0.000112174,0.000124757
0.000110132,0.000111587,0.000111587,5.72E-05,0.000111587,0.000106053,0.000123995
0.000122938,8.67E-05,8.67E-05,4.99E-05,8.67E-05,9.00E-05,0.000121945
0.000121657,7.04E-05,7.04E-05,3.99E-05,7.04E-05,6.22E-05,0.000116901
0.000117816,6.67E-05,6.67E-05,2.76E-05,6.67E-05,4.63E-05,0.000111961
0.000124219,6.56E-05,6.56E-05,2.71E-05,6.56E-05,4.53E-05,0.000112775
0.000129341,6.52E-05,6.52E-05,3.11E-05,6.52E-05,4.52E-05,0.000112854
0.000122938,6.12E-05,6.12E-05,3.14E-05,6.12E-05,4.26E-05,0.000108834
0.000101168,5.71E-05,5.71E-05,3.02E-05,5.71E-05,4.23E-05,0.000103132
7.94E-05,4.82E-05,4.82E-05,2.67E-05,4.82E-05,4.20E-05,9.60E-05
6.15E-05,4.41E-05,4.41E-05,2.74E-05,4.41E-05,4.15E-05,8.94E-05
5.25E-05,4.19E-05,4.19E-05,2.64E-05,4.19E-05,3.94E-05,8.62E-05
5.12E-05,4.15E-05,4.15E-05,3.29E-05,4.15E-05,3.81E-05,8.56E-05
